CourseID,CIPChoiceID,Publicly,StatePublicly,CourseDept,CourseNo,CourseTitle,CourseDescription,ForCredit,MinCredits,MaxCredits,CEU,CreditType,CourseLevel,CoursePrereqs,EnrollProcedure,Admitted,AdmissInternet,RegInternet,RegistrarURL,CompleteFL
1,52.03,T,T,ACG,2001,Principles Of Accounting 1,An introduction to the basic principles of financial accounting with emphasis on basic accounting procedures such as the recording of transactions and the preparation of financial statements. Other topics include inventories$ receivables$ and cash. ACG 2001 and ACG 2011 can be substituted for ACG 2021. Corequisite: ACG 2001L. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite: Requires concurrent enrollment in ACG2001L at MDC's Virtual College.,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
2,52.03,T,T,ACG,2001L,Principles Of Accounting 1 Lab,The student will use computer software and financial accounting applications to analyze accounting records and prepare financial statements. The student will learn$ with tutorial help and problem-solving$ the concepts needed to achieve the objectives of ACG2001. ,T,1,1,0,S,U,Prerequisite: None; Co-requisite: Requires concurrent enrollment in ACG2001 at MDC's Virtual College.,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
3,52.03,T,T,ACG,2011,Principles Of Accounting 2,Accounting for owners equity with emphasis on corporate financial statements. Other topics include plant assets$ intangible assets$ current and long-term liabilities. ACG 2001 and 2011 can be substituted for ACG 2021. Prerequisite: ACG 2001; corequisite: ACG 2011L. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: ACG2001; Corequisite: Requires concurrent enrollment in ACG2011L&nbsp;at MDC's Virtual College.,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
4,52.03,T,T,ACG,2011L,Principles Of Accounting 2 Lab,The student will use computer software and financial accounting applications to analyze accounting records$ prepare financial statements$ and compile Excel spreadsheets. The student will learn$ with tutorial help and problem-solving$ the concepts needed to achieve the objectives of ACG2011. Prerequisite: ACG2001 $ ACG2001L ; Corequisite: ACG2011  ( 2 hr. lab ),T,1,1,0,S,U,Prerequisite: None; Corequisite: Requires concurrent enrollment in ACG2011 at MDC's Virtual College.,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
5,52.03,T,T,ACG,2021,Financial Accounting,An introduction to financial accounting concepts and analysis with emphasis on corporate financial statements and determination of income. Corequisite: ACG 2021L. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite: Requires concurrent enrollment in ACG2021L at MDC's Virtual College.,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
6,52.03,T,T,ACG,2021L,Financial Accounting Lab,The student will use computer software and financial accounting applications to analyze accounting records and prepare financial statements. The student will learn$ with tutorial help and problem-solving$ the concepts needed to achieve the objectives of ACG2021. Corequisite: ACG2021 ( 2 hr. lab ),T,1,1,0,S,U,Prerequisite: None; Corequisite: Requires concurrent enrollment in ACG2021 at MDC's Virtual College.,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
7,52.03,T,T,ACG,2031,Accounting Theory,Designed primarily for the transferring accounting major$ the course covers current topics in both financial and managerial accounting. It exposes the student to a computerized accounting system. It also familiarizes the student with current accounting literature and includes a review of the preparation and analysis of financial statements. Prerequisites: ACG 2071. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: ACG2071; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
8,52.03,T,T,ACG,2071,Managerial Accounting,Managerial Accounting focuses on the accounting information needs of the various levels of internal management within an organization. Internal responsibility is directed at three major areas of management responsibility: cost determination$ planning and control$ and long-term decision-making. Prerequisite: ACG 2011 and ACG 2001 or ACG 2021; corequisite: ACG 2071L. (48 Contact hrs.),T,3,3,0,S,U,Prerequisite: ACG2011 and ACG2001 or ACG2021; Corequisite: Requires concurrent enrollment in ACG2071L at MDC's Virtual College.,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
9,52.03,T,T,ACG,2071L,Managerial Accounting Lab,The student will learn to interpret and solve problems related to the managerial accounting field. Additional support will be provided to the student in order to achieve the objectives of ACG2071.  Prerequisite: ACG2021 $ ACG2021L; Corequisite: ACG2071  ( 2 hr. lab ),T,1,1,0,S,U,Prerequisite: ACG2021$ ACG2021L; Corequisite: Requires concurrent enrollment in ACG2071 at MDC's Virtual College.,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
10,52.03,T,T,ACG,2450,Microcomputers In Accounting,Accounting application of electronic data processing including the preparation interpretation and use of computer information in financial decision making. Pre-/Co-requisite: ACG 2001 or ACG 2021. Special fee. (1-3 hr. lecture),T,1,1,0,S,U,Prerequisite: ACG2001 or ACG2021; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
11,54.01,T,T,AMH,2010,History Of The US To 1877,Students will learn of the history of the United States to 1877 by examining the founding$ growth$ and development of America from the colonial era through Reconstruction. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
12,54.01,T,T,AMH,2020,History Of  The US Since 1877,This course focuses on the social$ economic$ cultural$ and political developments in the United States since 1877. The student will gain knowledge of changes and continuities in the history of the United States since the late nineteenth century. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
15,26.01,T,T,BSC,1005,General Education Biology,This general education biology course covers basic biological concepts$ concentrating on selected principles that help explain molecular biology$ evolution$ genetics$ growth$ disease$ and the problems of humans in the environment. It is designed to stimulate interest in the variety of life that exists on our planet$ help students recognize the factors that provide order in this variety$ and involve students in the processes of inquiry$ observation$ and analysis of biological organization in order to give them a foundation for intelligently interpreting and evaluating biological topics. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
17,26.01,T,T,BSC,2010,Principles Of Biology,This is the first sequence of two courses that deal with the principles of modern biology. It covers scientific process$ the chemistry of life$ the basics of metabolism$ cell theory$ cellular respiration$ photosynthesis$ classical$ and molecular genetics. Prerequisite:  CHM 1045; Corequisites:  BSC 2010L. Special fee. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: CHM1045; Corequisite: BSC2010L,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
18,26.01,T,T,BSC,2085,Human Anatomy And Physiology 1,In this course students will learn the structure and function of the systems of the human body$ emphasizing those aspects most pertinent to students in the Health Sciences programs. Students are strongly recommended to complete CHM1033/1033L prior to enrolling in this course. Corequisite: BSC2085L. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite: BSC2085L,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
19,26.01,T,T,BSC,2085L,Human Anatomy And Physiology 1 Laboratory,In this laboratory course$ student will learn to apply the concepts covered in BSC2085 as it pertains to structure and function of the human body from an experiential approach.Corequisite: BSC2085 ( 2 hr. lab ),T,1,1,0,S,U,Prerequisite: None; Corequisite: Requires concurrent enrollment in BSC2085 at MDC's Virtual College.,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
20,26.01,T,T,BSC,2086,Human Anatomy & Physiology 2,Building on concepts learned in BSC2085$ students will learn the structure$ function$ and physiology of the human body$ with an emphasis on the Endocrine$ Cardiovascular$ Lymphatic$ Respiratory$ Digestive$ Urinary$ and Reproductive Systems. Prerequisite: BSC2085 Corequisite: BSC2086L ( 3 hr. lecture ),T,3,3,0,S,U,Prerequisite: BSC2085; Corequisite: BSC2086L,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
21,26.01,T,T,BSC,2086L,Human Anatomy & Physiology 2 Laboratory,In this laboratory course$ students will learn to apply the concepts covered in BSC2086$ which include the structure and function of the Endocrine$ Cardiovascular$ Lymphatic$ Respiratory$ Digestive$ Urinary$ and Reproductive Systems and development$ from an experiential approach.Prerequisite: BSC2085L $ BSC2085 Corequisite: BSC2086 ( 2 hr. lab ),T,1,1,0,S,U,Requires concurrent enrollment in BSC2086 at MDCs Virtual College.,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
22,52.02,T,T,BUL,2241,Business Law 1,Law in relation to the proper conduct of business$ including a consideration of the nature and source of law$ courts and courtroom procedure$ contracts$ sales of goods$ negotiable instruments and secured transactions. Special fee. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
23,43.01,T,T,CCJ,1010,Introduction To Criminology,Theories and causes of criminal and delinquent behavior$ including its variations$ ramifications$ explanations and measures of prevention$ control and treatment. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
24,43.01,T,T,CCJ,1020,Introduction To Criminal Justice,History$ development$ philosophy$ constitutional aspects$ introduction to and survey of the agencies and processes involved in the administration of criminal justice in a democratic society. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
25,43.01,T,T,CCJ,1191,Human Behavior In Criminal Justice,Human behavior and how it relates to the duties and responsibilities of the criminal justice practitioner. (3 hr. lecture),T,3,3,0,S,U,None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
26,43.01,T,T,CCJ,2650,Narcotics And Dangerous Substances,The general problems created by illegal use of narcotics and dangerous substances$ with emphasis upon classification$ description and history of drugs$ etiology of addiction$ extent of drug use and its relationship to criminal behavior and methods of control. (3 hr. lecture),T,3,3,0,S,U,None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
27,43.01,T,T,CCJ,3032,Crime And The Media,An examination of the inter-relationship among the mass media$ crime$ and criminal justice. Includes media and the social construction of crime and criminal justice; media effects on attitudes toward crime and justice; and media as a cause of crime. Prerequisite: SYG 2000. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: SYG 2000.,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
28,43.01,T,T,CCJ,4660,Crime$ Violence And Schools,An examination of comprehensive and proven theoretical models of explaining$ predicting$ and preventing school-based violence. Prerequisite: CCJ 1191$ CJJ 2002. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: CCJ 1191$ CJJ 2002,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
29,11.01,T,T,CGS,1060C,Introduction To Microcomputers Usage,This is an introductory level course that satisfies the College's computer competency requirement. Students will learn essential computer concepts and skills as well as knowledge of how to use$ current software applications. Topics include word processing$ spreadsheets$ database$ presentation software$ email$ Internet$ and legal and ethical issues concerning the use of computers and the Internet.,T,4,4,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
31,11.01,T,T,CGS,1560,A+ Computer Operating Systems,This is a comprehensive course in the use of operating systems for microcomputers suitable for students seeking preparation for A+ operating system certification. Students will learn how to install$ configure$ use$ manage$ and troubleshoot the Disk Operating System (DOS)$ Microsoft Windows$ and other microcomputer operating systems. Prerequisite: CGS 1060 or computer experience is required. Laboratory fee. A.S. degree credit only. (3 hr. lecture; 2 hr. lab),T,4,4,0,S,U,Prerequisite: CGS1060 or computer experience is required.; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
32,11.01,T,T,CGS,2091,Professional Ethics & Social Issues In CS,This course is designed to provide computer science majors and others with an introduction to professional ethics &amp; social issues in Computer Science. Students will learn theories associated with the legal$ ethical$ and social issues relevant to information technology$ and the roles and responsibilities of computer professionals in today's technological society.,T,4,4,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
