CourseID,ReferenceNumber,EnrollEnd,CourseStart,CourseEnd,TermYear,SchoolTerm,TermChoiceID,TuitionIS,GSFIS,TuitionOS,GSFOS,Title,InstructorName,CourseAvailability,FormatChoiceID,CourseType,DeliveryID,VisitRequired,TechRequirements,OtherConsiderations,SynchronousMeetingsRequired,ScheduleNotes,RegistrationStatus
1,1052,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,389.67,45,1607.91,45,Prin Of Accounting 1,Martha Cavalaris,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
2,1053,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,129.89,15,535.97,15,Prin/Accountng Lab 1,Martha Cavalaris,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
3,1005,6/20/2021,6/21/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Prin Of Accounting 2,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
4,1054,6/20/2021,6/21/2021,7/30/2021,2021,Summer,76,129.89,15,535.97,15,Prin/Account Lab 2,Martha Cavalaris,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
5,1015,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,389.67,45,1607.91,45,Financial Accounting,Jose Hortensi,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
5,1016,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,389.67,45,1607.91,45,Financial Accounting,Elisa Fernandez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
5,6177,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,389.67,45,1607.91,45,Financial Accounting,Elisa Fernandez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
5,6192,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Financial Accounting,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
6,1048,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,129.89,15,535.97,15,Financial Acct Lab,Nelson Gomez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
6,1049,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,129.89,15,535.97,15,Financial Acct Lab,Nelson Gomez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
