External_Course_Key|External_Person_Key|Role|Available_Ind|ROW_STATUS
RSK1000-10|1002270083|Student|N|enabled
RSK1000-10|4000039275|Student|N|enabled
RSK1000-10|1002282081|Student|N|enabled
RSK1000-10|1001428774|Student|N|enabled
RSK1000-10|1000376048|Student|N|enabled
RSK1000-10|4000004072|Student|N|enabled
RSK1000-10|1000035640|Student|N|enabled
RSK1000-10|1000003513|Student|N|enabled
RSK1000-10|2000000981|Student|N|enabled
RSK1000-10|1000362830|Student|N|enabled
RSK1000-10|1001019721|Student|N|enabled
RSK1000-10|1002245781|Student|N|enabled
RSK1000-10|1000011302|Student|N|enabled
RSK1000-10|1000927711|Student|N|enabled
RSK1000-10|1001773181|Student|N|enabled
RSK1000-10|1000028392|Student|N|enabled
RSK1000-10|1000818594|Student|N|enabled
RSK1000-10|1001042782|Student|N|enabled
RSK1000-10|1000074619|Student|N|enabled
RSK1000-10|1001104795|Student|N|enabled
RSK1000-10|1000001652|Student|N|enabled
RSK1000-10|1002264773|Student|N|enabled
RSK1000-10|1001205110|Student|N|enabled
RSK1000-10|1002229705|Student|N|enabled
RSK1000-10|1001418600|Student|N|enabled
RSK1000-10|1002028836|Student|N|enabled
RSK1000-10|4000034396|Student|N|enabled
RSK1000-10|4000067318|Student|N|enabled
RSK1000-10|2000000993|Student|N|enabled
RSK1000-10|2000001013|Student|N|enabled
RSK1000-10|4000114092|Student|N|enabled
RSK1000-10|4000024530|Student|N|enabled
RSK1000-10|1000023283|Student|N|enabled
RSK1000-10|1000045152|Student|N|enabled
RSK1000-10|1000031865|Student|N|enabled
RSK1000-10|1001520611|Student|N|enabled
RSK1000-10|1000821054|Student|N|enabled
RSK1000-10|1001887862|Student|N|enabled
RSK1000-10|1001008378|Student|N|enabled
RSK1000-10|1000484868|Student|N|enabled
RSK1000-10|1000401008|Student|N|enabled
RSK1000-10|1001947203|Student|N|enabled
RSK1000-10|2000000978|Student|N|enabled
RSK1000-10|1000408995|Student|N|enabled
RSK1000-10|1000059753|Student|N|enabled
RSK1000-10|1002243874|Student|N|enabled
RSK1000-10|1000061177|Student|N|enabled
RSK1000-10|1000065717|Student|N|enabled
RSK1000-10|1000022167|Student|N|enabled
RSK1000-10|1000989474|Student|N|enabled
RSK1000-10|1000064466|Student|N|enabled
RSK1000-10|1001186514|Student|N|enabled
RSK1000-10|2000001016|Student|N|enabled
RSK1000-10|1000069300|Student|N|enabled
RSK1000-10|1001962606|Student|N|enabled
RSK1000-10|1001146173|Student|N|enabled
RSK1000-10|1000070812|Student|N|enabled
RSK1000-10|1000792553|Student|N|enabled
RSK1000-10|1001135721|Student|N|enabled
RSK1000-10|1000442977|Student|N|enabled
RSK1000-10|1000043250|Student|N|enabled
RSK1000-10|1001956095|Student|N|enabled
RSK1000-10|1000028153|Student|N|enabled
RSK1000-10|4000028813|Student|N|enabled
RSK1000-10|1001925002|Student|N|enabled
RSK1000-10|1000036887|Student|N|enabled
RSK1000-10|1000055192|Student|N|enabled
RSK1000-10|1000674688|Student|N|enabled
RSK1000-10|1000747367|Student|N|enabled
RSK1000-10|1000061064|Student|N|enabled
RSK1000-10|1000039803|Student|N|enabled
RSK1000-10|1001497060|Student|N|enabled
RSK1000-10|1000043102|Student|N|enabled
RSK1000-10|1000040887|Student|N|enabled
RSK1000-10|4000062598|Student|N|enabled
RSK1000-10|2000000570|Student|N|enabled
RSK1000-10|1001396610|Student|N|enabled
RSK1000-10|4000081056|Student|N|enabled
RSK1000-10|1000062870|Student|N|enabled
RSK1000-10|1001897714|Student|N|enabled
RSK1000-10|1001809220|Student|N|enabled
RSK1000-10|1000070104|Student|N|enabled
RSK1000-10|1001440174|Student|N|enabled
RSK1000-10|1002231560|Student|N|enabled
RSK1000-10|1000048200|Student|N|enabled
RSK1000-10|2000000299|Student|N|enabled
RSK1000-10|1000006036|Student|N|enabled
RSK1000-10|1000049174|Student|N|enabled
RSK1000-10|1000035982|Student|N|enabled
RSK1000-10|1000676877|Student|N|enabled
RSK1000-10|1000034853|Student|N|enabled
RSK1000-10|4000060993|Student|N|enabled
RSK1000-10|1002239707|Student|N|enabled
RSK1000-10|1001466555|Student|N|enabled
RSK1000-10|1000841967|Student|N|enabled
RSK1000-10|1002244517|Student|N|enabled
RSK1000-10|1000071862|Student|N|enabled
RSK1000-10|1000033109|Student|N|enabled
RSK1000-10|1000056805|Student|N|enabled
RSK1000-10|1000051143|Student|N|enabled
RSK1000-10|1001157550|Student|N|enabled
