CRSE_ID,CRSE_OFFER_NBR,SESSION_CODE,CLASS_SECTION,STRM,CLASS_NBR,SUBJECT,CATALOG_NBR,ORG_NAME,ORG_TYPE,CATEGORY,Start_Date,End_Date,InstructorID,CLASS_STAT,UPDATED
200790,1,1,6,2193,3138,CCJ,2650,ONLN,VIRT,College Credit,20190108,20190503,1000019133,A,01:07.3
200790,1,1,8,2195,1711,CCJ,2650,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
200790,1,1,9,2193,3223,CCJ,2650,ONLN,VIRT,College Credit,20190108,20190503,1000028931,A,01:07.3
200790,1,8W2,10,2193,10257,CCJ,2650,ONLN,VIRT,College Credit,20190311,20190503,1000046071,A,01:07.3
202083,1,1,14,2193,17517,INR,2002,ONLN,VIRT,College Credit,20190108,20190503,0,X,01:07.3
202083,1,1,2,2195,5753,INR,2002,ONLN,VIRT,College Credit,20190513,20190802,1000034441,A,01:07.3
202114,1,1,5,2193,5942,MTB,1103,ONLN,VIRT,College Credit,20190108,20190503,1000030865,A,01:07.3
202114,1,6W1,1,2195,2664,MTB,1103,ONLN,VIRT,College Credit,20190513,20190621,1000030865,A,01:07.3
202225,1,1,10,2195,2045,OCE,1001,ONLN,VIRT,College Credit,20190513,20190802,1000049697,A,01:07.3
202225,1,1,11,2193,4329,OCE,1001,ONLN,VIRT,College Credit,20190108,20190503,1000049697,A,01:07.3
202225,1,1,12,2195,4788,OCE,1001,ONLN,VIRT,College Credit,20190513,20190802,1000076393,A,01:07.3
202225,1,1,13,2193,4330,OCE,1001,ONLN,VIRT,College Credit,20190108,20190503,1000076393,A,01:07.3
202225,1,1,18,2193,4323,OCE,1001,ONLN,VIRT,College Credit,20190108,20190503,1000017633,A,01:07.3
202225,1,1,27,2193,10367,OCE,1001,ONLN,VIRT,College Credit,20190108,20190503,1000017633,A,01:07.3
202225,1,1,7,2195,2042,OCE,1001,ONLN,VIRT,College Credit,20190513,20190802,1000049697,A,01:07.3
202225,1,1,8,2195,2043,OCE,1001,ONLN,VIRT,College Credit,20190513,20190802,1000076393,A,01:07.3
202225,1,1,9,2193,4328,OCE,1001,ONLN,VIRT,College Credit,20190108,20190503,1000017633,A,01:07.3
202225,1,1,9,2195,2044,OCE,1001,ONLN,VIRT,College Credit,20190513,20190802,1000017633,A,01:07.3
202225,1,8W2,14,2193,4325,OCE,1001,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
202225,1,8W2,17,2193,4324,OCE,1001,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
202225,1,8W2,28,2193,10368,OCE,1001,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
202241,1,1,2,2193,7315,POS,2112,ONLN,VIRT,College Credit,20190108,20190503,1000031681,A,01:07.3
202241,1,6W2,1,2195,3057,POS,2112,ONLN,VIRT,College Credit,20190624,20190802,0,T,01:07.3
202252,1,1,1,2193,6976,REL,1210,ONLN,VIRT,College Credit,20190108,20190503,1000049501,A,01:07.3
202252,1,1,1,2195,5771,REL,1210,ONLN,VIRT,College Credit,20190513,20190802,1000049501,A,01:07.3
202658,1,1,6,2195,5773,REL,2300,ONLN,VIRT,College Credit,20190513,20190802,1000049501,A,01:07.3
202658,1,1,8,2193,6974,REL,2300,ONLN,VIRT,College Credit,20190108,20190503,1000049501,A,01:07.3
202658,1,8W2,11,2193,7119,REL,2300,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
202712,1,1,12,2195,3059,POS,2041,ONLN,VIRT,College Credit,20190513,20190802,1000001863,A,01:07.3
202712,1,1,13,2195,3060,POS,2041,ONLN,VIRT,College Credit,20190513,20190802,1000001863,A,01:07.3
202712,1,1,24,2193,7347,POS,2041,ONLN,VIRT,College Credit,20190108,20190503,1000001863,A,01:07.3
202712,1,1,25,2193,7348,POS,2041,ONLN,VIRT,College Credit,20190108,20190503,1000034441,A,01:07.3
202712,1,1,26,2195,6093,POS,2041,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202712,1,1,28,2193,7349,POS,2041,ONLN,VIRT,College Credit,20190108,20190503,1000001863,A,01:07.3
202712,1,1,29,2193,7350,POS,2041,ONLN,VIRT,College Credit,20190108,20190503,1000034441,A,01:07.3
202712,1,1,39,2193,7355,POS,2041,ONLN,VIRT,College Credit,20190108,20190503,1000001863,A,01:07.3
202712,1,1,47,2193,10379,POS,2041,ONLN,VIRT,College Credit,20190108,20190503,1000021747,A,01:07.3
202712,1,6W1,14,2195,3067,POS,2041,ONLN,VIRT,College Credit,20190513,20190621,1000034441,A,01:07.3
202712,1,6W1,27,2195,6094,POS,2041,ONLN,VIRT,College Credit,20190513,20190621,1000001863,A,01:07.3
202712,1,6W2,15,2195,3068,POS,2041,ONLN,VIRT,College Credit,20190624,20190802,0,T,01:07.3
202712,1,6W2,28,2195,6095,POS,2041,ONLN,VIRT,College Credit,20190624,20190802,0,T,01:07.3
202712,1,8W2,43,2193,7356,POS,2041,ONLN,VIRT,College Credit,20190311,20190503,1000020507,A,01:07.3
202741,1,1,1,2195,2326,HFT,2500,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202741,1,1,3,2193,5112,HFT,2500,ONLN,VIRT,College Credit,20190108,20190503,1000070470,A,01:07.3
202752,1,1,23,2195,4756,ARH,1000,ONLN,VIRT,College Credit,20190513,20190802,1000037387,A,01:07.3
202752,1,1,24,2195,4757,ARH,1000,ONLN,VIRT,College Credit,20190513,20190802,1000037387,A,01:07.3
202752,1,1,25,2195,4758,ARH,1000,ONLN,VIRT,College Credit,20190513,20190802,1000037387,A,01:07.3
202752,1,1,26,2195,4759,ARH,1000,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202752,1,1,48,2193,8689,ARH,1000,ONLN,VIRT,College Credit,20190108,20190503,1000037387,A,01:07.3
202752,1,1,49,2193,8690,ARH,1000,ONLN,VIRT,College Credit,20190108,20190503,1000037387,A,01:07.3
202752,1,1,50,2193,8691,ARH,1000,ONLN,VIRT,College Credit,20190108,20190503,1000037387,A,01:07.3
202752,1,1,61,2193,10262,ARH,1000,ONLN,VIRT,College Credit,20190108,20190503,1000761543,A,01:07.3
202752,1,1,62,2193,10263,ARH,1000,ONLN,VIRT,College Credit,20190108,20190503,1000761543,A,01:07.3
202752,1,8W2,63,2193,10264,ARH,1000,ONLN,VIRT,College Credit,20190311,20190503,0,T,01:07.3
202756,1,1,30,2195,2895,PHI,2010,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202756,1,1,31,2195,2894,PHI,2010,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202756,1,1,32,2195,2893,PHI,2010,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202756,1,1,33,2195,2892,PHI,2010,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202756,1,1,34,2195,2891,PHI,2010,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202756,1,1,36,2195,2890,PHI,2010,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202756,1,1,37,2195,2889,PHI,2010,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202756,1,1,38,2195,2888,PHI,2010,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202756,1,1,39,2195,2899,PHI,2010,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202756,1,1,41,2195,2897,PHI,2010,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202756,1,1,64,2193,7010,PHI,2010,ONLN,VIRT,College Credit,20190108,20190503,1000008901,A,01:07.3
202756,1,1,65,2193,7011,PHI,2010,ONLN,VIRT,College Credit,20190108,20190503,1000071705,A,01:07.3
202756,1,1,67,2193,7013,PHI,2010,ONLN,VIRT,College Credit,20190108,20190503,1000071705,A,01:07.3
202756,1,1,67,2195,6086,PHI,2010,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202756,1,1,68,2193,7014,PHI,2010,ONLN,VIRT,College Credit,20190108,20190503,1000015600,A,01:07.3
202756,1,1,68,2195,6087,PHI,2010,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202756,1,1,69,2193,7015,PHI,2010,ONLN,VIRT,College Credit,20190108,20190503,1000002165,A,01:07.3
202756,1,1,73,2193,7016,PHI,2010,ONLN,VIRT,College Credit,20190108,20190503,1000074504,A,01:07.3
202756,1,1,75,2193,7018,PHI,2010,ONLN,VIRT,College Credit,20190108,20190503,1000031251,A,01:07.3
202756,1,1,76,2193,7019,PHI,2010,ONLN,VIRT,College Credit,20190108,20190503,1000000858,A,01:07.3
202756,1,1,78,2193,7020,PHI,2010,ONLN,VIRT,College Credit,20190108,20190503,1000027230,A,01:07.3
202756,1,1,80,2193,7021,PHI,2010,ONLN,VIRT,College Credit,20190108,20190503,1000030702,A,01:07.3
202756,1,6W1,40,2195,2887,PHI,2010,ONLN,VIRT,College Credit,20190513,20190621,1000008901,A,01:07.3
202756,1,6W1,69,2195,6088,PHI,2010,ONLN,VIRT,College Credit,20190513,20190621,0,A,01:07.3
202756,1,6W2,35,2195,2919,PHI,2010,ONLN,VIRT,College Credit,20190624,20190802,0,T,01:07.3
202756,1,6W2,42,2195,2918,PHI,2010,ONLN,VIRT,College Credit,20190624,20190802,0,T,01:07.3
202756,1,6W2,66,2195,4789,PHI,2010,ONLN,VIRT,College Credit,20190624,20190802,0,T,01:07.3
202756,1,8W2,100,2193,7117,PHI,2010,ONLN,VIRT,College Credit,20190311,20190503,1000030702,A,01:07.3
202756,1,8W2,105,2193,7118,PHI,2010,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
202756,1,8W2,123,2193,8801,PHI,2010,ONLN,VIRT,College Credit,20190311,20190503,1000031251,A,01:07.3
202756,1,8W2,139,2193,10369,PHI,2010,ONLN,VIRT,College Credit,20190311,20190503,1000002165,A,01:07.3
202756,1,8W2,140,2193,10370,PHI,2010,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
202756,1,8W2,141,2193,10371,PHI,2010,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
202756,1,8W2,142,2193,10372,PHI,2010,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
202756,1,8W2,66,2193,7012,PHI,2010,ONLN,VIRT,College Credit,20190311,20190503,0,T,01:07.3
202756,1,8W2,74,2193,7017,PHI,2010,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
202756,1,8W2,81,2193,7022,PHI,2010,ONLN,VIRT,College Credit,20190311,20190503,0,T,01:07.3
202762,1,1,10,2193,5121,HFT,1000,ONLN,VIRT,College Credit,20190108,20190503,1000066926,A,01:07.3
202762,1,1,3,2195,2329,HFT,1000,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202767,1,1,1,2195,5770,IND,1100,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202767,1,1,3,2193,5353,IND,1100,ONLN,VIRT,College Credit,20190108,20190503,0,X,01:07.3
202769,1,1,12,2193,1577,FIN,2000,ONLN,VIRT,College Credit,20190108,20190503,1000074544,A,01:07.3
202769,1,1,17,2193,8796,FIN,2000,ONLN,VIRT,College Credit,20190108,20190503,1000006997,A,01:07.3
202769,1,1,6,2195,1155,FIN,2000,ONLN,VIRT,College Credit,20190513,20190802,1000074544,A,01:07.3
202769,1,1,9,2193,1574,FIN,2000,ONLN,VIRT,College Credit,20190108,20190503,1000074544,A,01:07.3
202769,1,1,9,2195,4776,FIN,2000,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202778,1,6W1,1,2195,3671,ACG,2031,ONLN,VIRT,College Credit,20190513,20190621,1000008703,A,01:07.3
202778,1,8W1,1,2193,1121,ACG,2031,ONLN,VIRT,College Credit,20190108,20190304,1000008703,A,01:07.3
202778,1,8W2,2,2193,10239,ACG,2031,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
202782,1,1,14,2193,2170,MAR,1011,ONLN,VIRT,College Credit,20190108,20190503,1000028092,A,01:07.3
202782,1,1,16,2193,2169,MAR,1011,ONLN,VIRT,College Credit,20190108,20190503,1000038252,A,01:07.3
202782,1,1,26,2195,6066,MAR,1011,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202782,1,1,9,2195,1392,MAR,1011,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
202782,1,6W1,7,2195,1388,MAR,1011,ONLN,VIRT,College Credit,20190513,20190621,1000065741,A,01:07.3
202782,1,6W1,8,2195,1389,MAR,1011,ONLN,VIRT,College Credit,20190513,20190621,0,T,01:07.3
202782,1,6W2,10,2195,4786,MAR,1011,ONLN,VIRT,College Credit,20190624,20190802,0,T,01:07.3
202782,1,6W2,27,2195,6067,MAR,1011,ONLN,VIRT,College Credit,20190624,20190802,0,T,01:07.3
202782,1,8W1,29,2193,2279,MAR,1011,ONLN,VIRT,College Credit,20190108,20190304,1000040199,A,01:07.3
202782,1,8W2,30,2193,10358,MAR,1011,ONLN,VIRT,College Credit,20190311,20190503,1000018768,A,01:07.3
202783,1,1,12,2195,2522,MAC,1114,ONLN,VIRT,College Credit,20190513,20190802,1000054393,A,01:07.3
202783,1,1,13,2195,2523,MAC,1114,ONLN,VIRT,College Credit,20190513,20190802,1000018295,A,01:07.3
202783,1,1,17,2193,5510,MAC,1114,ONLN,VIRT,College Credit,20190108,20190503,1000038227,A,01:07.3
202783,1,1,18,2195,6050,MAC,1114,ONLN,VIRT,College Credit,20190513,20190802,1000053885,A,01:07.3
202783,1,1,28,2193,10339,MAC,1114,ONLN,VIRT,College Credit,20190108,20190503,1000062496,A,01:07.3
202783,1,8W2,18,2193,5511,MAC,1114,ONLN,VIRT,College Credit,20190311,20190503,1000002980,A,01:07.3
202798,1,1,18,2195,1817,ECO,2023,ONLN,VIRT,College Credit,20190513,20190802,1000031739,A,01:07.3
202798,1,1,19,2195,1821,ECO,2023,ONLN,VIRT,College Credit,20190513,20190802,1000038150,A,01:07.3
202798,1,1,20,2195,1818,ECO,2023,ONLN,VIRT,College Credit,20190513,20190802,1000031739,A,01:07.3
202798,1,1,21,2195,1819,ECO,2023,ONLN,VIRT,College Credit,20190513,20190802,1000005652,A,01:07.3
202798,1,1,34,2193,3339,ECO,2023,ONLN,VIRT,College Credit,20190108,20190503,1000021597,A,01:07.3
202798,1,1,35,2193,3338,ECO,2023,ONLN,VIRT,College Credit,20190108,20190503,1000005652,A,01:07.3
202798,1,1,36,2193,3337,ECO,2023,ONLN,VIRT,College Credit,20190108,20190503,1000031739,A,01:07.3
202798,1,1,37,2193,3336,ECO,2023,ONLN,VIRT,College Credit,20190108,20190503,1000031739,A,01:07.3
202798,1,1,38,2193,3335,ECO,2023,ONLN,VIRT,College Credit,20190108,20190503,1000031739,A,01:07.3
202798,1,1,69,2193,10293,ECO,2023,ONLN,VIRT,College Credit,20190108,20190503,1000005652,A,01:07.3
202798,1,1,70,2193,10294,ECO,2023,ONLN,VIRT,College Credit,20190108,20190503,1000021597,A,01:07.3
202806,1,1,1,2193,2884,CIS,2322,ONLN,VIRT,College Credit,20190108,20190503,0,X,01:07.3
202806,1,1,3,2193,3049,CIS,2322,ONLN,VIRT,College Credit,20190108,20190503,0,X,01:07.3
203018,1,1,7,2195,11483,ARC,2461,ONLN,VIRT,College Credit,20190513,20190802,1000054755,A,01:07.3
203018,1,1,8,2195,11484,ARC,2461,ONLN,VIRT,College Credit,20190513,20190802,1000054755,A,01:07.3
203076,1,6W1,2,2195,1061,ACG,2001,ONLN,VIRT,College Credit,20190513,20190621,1000008703,A,01:07.3
203076,1,8W1,5,2193,1107,ACG,2001,ONLN,VIRT,College Credit,20190108,20190304,1000008703,A,01:07.3
203276,1,1,1,2193,7972,SYG,2230,ONLN,VIRT,College Credit,20190108,20190503,1000033571,A,01:07.3
203276,1,1,1,2195,5803,SYG,2230,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
203292,1,1,116,2193,8797,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000054467,A,01:07.3
203292,1,1,117,2193,8798,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000066726,A,01:07.3
203292,1,1,118,2193,10325,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000059792,A,01:07.3
203292,1,1,119,2193,10326,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000057577,A,01:07.3
203292,1,1,120,2193,10327,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000054467,A,01:07.3
203292,1,1,121,2193,10328,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000059792,A,01:07.3
203292,1,1,15,2193,5316,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000048395,A,01:07.3
203292,1,1,20,2195,2360,HUM,1020,ONLN,VIRT,College Credit,20190513,20190802,1000017261,A,01:07.3
203292,1,1,21,2195,2359,HUM,1020,ONLN,VIRT,College Credit,20190513,20190802,1000057577,A,01:07.3
203292,1,1,22,2195,2358,HUM,1020,ONLN,VIRT,College Credit,20190513,20190802,1000046539,A,01:07.3
203292,1,1,23,2195,2357,HUM,1020,ONLN,VIRT,College Credit,20190513,20190802,1000057577,A,01:07.3
203292,1,1,24,2195,2361,HUM,1020,ONLN,VIRT,College Credit,20190513,20190802,1000006349,A,01:07.3
203292,1,1,25,2195,2355,HUM,1020,ONLN,VIRT,College Credit,20190513,20190802,1000033233,A,01:07.3
203292,1,1,26,2195,2354,HUM,1020,ONLN,VIRT,College Credit,20190513,20190802,1000033233,A,01:07.3
203292,1,1,50,2195,4781,HUM,1020,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
203292,1,1,51,2195,6034,HUM,1020,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
203292,1,1,52,2193,5222,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000033233,A,01:07.3
203292,1,1,52,2195,6035,HUM,1020,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
203292,1,1,53,2193,5223,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000033233,A,01:07.3
203292,1,1,53,2195,6036,HUM,1020,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
203292,1,1,54,2193,5224,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000054467,A,01:07.3
203292,1,1,55,2193,5225,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000033233,A,01:07.3
203292,1,1,56,2193,5226,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000066726,A,01:07.3
203292,1,1,57,2193,5227,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000057577,A,01:07.3
203292,1,1,58,2193,5228,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000046539,A,01:07.3
203292,1,1,60,2193,5229,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000054467,A,01:07.3
203292,1,1,61,2193,5230,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000066726,A,01:07.3
203292,1,1,62,2193,5231,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000075172,A,01:07.3
