CourseID,ReferenceNumber,EnrollEnd,CourseStart,CourseEnd,TermYear,SchoolTerm,TermChoiceID,TuitionIS,GSFIS,TuitionOS,GSFOS,Title,InstructorName,CourseAvailability,FormatChoiceID,CourseType,DeliveryID,VisitRequired,TechRequirements,OtherConsiderations,SynchronousMeetingsRequired,ScheduleNotes,RegistrationStatus
45,8770,10/27/2019,10/28/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Minca Davis Brantley,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
130,6158,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Math For Lib Arts 2,Christian Jarquin,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
246,8750,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Art Appreciation,Yomarie Silva-O Neal,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
290,9769,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Intro. Anthropology,Benjamin Augustyn,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
290,10817,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Intro. Anthropology,Benjamin Augustyn,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
107,7996,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Social Environment,Benjamin Augustyn,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
111,8799,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Issues in Lit & Culture,Ivonne Lamazares,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
62,10839,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Prin/Economics-Macro,Robert Foran,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
63,10842,10/27/2019,10/28/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Prin/Economics-Micro,Jeovanny Ponton,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
103,5273,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Humanities,Giselle Real Darbelles,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
103,5274,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Humanities,Giselle Real Darbelles,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
45,7659,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Krystal Ribot,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
55,7841,8/25/2019,8/26/2019,10/18/2019,2020,Spring,72,389.67,45,1607.91,45,Human Growth & Dev,Krystal Ribot,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
6,1005,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,129.89,15,535.97,15,Financial Acct Lab,Nelson Gomez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
167,7843,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Intro To Psychology,Krystal Ribot,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
18,10156,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Hum Anat & Phy 1,Carlos Ruiz,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
20,1845,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Hum Anat & Phy 2,Donald Maser,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
255,10702,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Arch Mat Const 1,Lyle Culver,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
6,1007,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,129.89,15,535.97,15,Financial Acct Lab,Pablo Simon,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
264,10884,10/27/2019,10/28/2019,12/20/2019,2020,Spring,72,129.89,15,535.97,15,Fye Seminar,Rynell Calloway,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
264,10885,10/27/2019,10/28/2019,12/20/2019,2020,Spring,72,129.89,15,535.97,15,Fye Seminar,Theola Blakley-Moore,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
264,10886,10/27/2019,10/28/2019,12/20/2019,2020,Spring,72,129.89,15,535.97,15,Fye Seminar,Maria Garcia,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
203,3227,8/25/2019,8/26/2019,10/18/2019,2020,Spring,72,389.67,45,1607.91,45,Civil Law,Shawn Schwaner,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
185,10894,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Intro To Sociology,Alejandro Angee,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
185,10895,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Intro To Sociology,Alejandro Angee,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
264,8817,10/27/2019,10/28/2019,12/20/2019,2020,Spring,72,129.89,15,535.97,15,Fye Seminar,Aile Montoya,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
264,10883,8/25/2019,8/26/2019,10/18/2019,2020,Spring,72,129.89,15,535.97,15,Fye Seminar,Aile Montoya,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
183,8324,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Fund Of Speech Comm,Chandra Maldonado,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
183,8326,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Fund Of Speech Comm,Chandra Maldonado,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
264,10087,8/25/2019,8/26/2019,10/18/2019,2020,Spring,72,129.89,15,535.97,15,Fye Seminar,Vellisse Grimes,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
264,10881,8/25/2019,8/26/2019,10/18/2019,2020,Spring,72,129.89,15,535.97,15,Fye Seminar,Vellisse Grimes,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
264,10882,8/25/2019,8/26/2019,10/18/2019,2020,Spring,72,129.89,15,535.97,15,Fye Seminar,Vellisse Grimes,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
103,8794,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Humanities,Claudio Osorio,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
103,10167,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Humanities,Claudio Osorio,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
245,10849,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Intro Env Sciences,David Moore,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
245,10850,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Intro Env Sciences,David Moore,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
245,10851,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Intro Env Sciences,David Moore,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
51,10773,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Java Programming 2,Hien Nguyen,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
103,5275,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Humanities,Sergio Gonzalez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
103,5276,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Humanities,Sergio Gonzalez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
103,8793,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Humanities,Sergio Gonzalez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
183,8325,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Fund Of Speech Comm,Marva Adams,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
237,8821,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Elementary Spanish 2,Maria Casado,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
201,3225,10/27/2019,10/28/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Police & Society,Elizabeth Buchholz,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
230,9776,8/25/2019,8/26/2019,10/18/2019,2020,Spring,72,389.67,45,1607.91,45,Terrorism,Elizabeth Buchholz,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
